platz,nachname,vorname,partei,stimme
103.0,Albanese,Franco,CVP,JA
78.0,Albrecht,Verena,BDP,--
125.0,Amacker,Bruno,SVP,NEIN
126.0,Amrein,Hans-Peter,SVP,NEIN
110.0,Arnold,Martin,SVP,NEIN
140.0,Bachmann,Ernst,SVP,NEIN
171.0,Bär,Hansruedi,SVP,NEIN
10.0,Barrile,Angelo,SP,JA
124.0,Bartholdi,Roger,SVP,NEIN
75.0,Bellaiche,Judith,GLP,JA
13.0,Bischoff,Markus,AL,JA
20.0,Bloch,Beat,CSP,JA
123.0,Bollinger,Erich,SVP,NEIN
111.0,Borer,Anita,SVP,NEIN
79.0,Brazerol,Rico,BDP,--
34.0,Brunner,Robert,Grüne,JA
48.0,Bucher-Steinegger,Heidi,Grüne,JA
58.0,Büchi-Wild,Renate,SP,JA
184.0,Burlet,Marcel,SP,JA
154.0,Burtscher,Rochus,SVP,NEIN
5.0,Bussmann,Barbara,SP,JA
12.0,Bütikofer,Kaspar,AL,JA
116.0,Camenisch,Linda,FDP,NEIN
161.0,Clerici,Max F.,FDP,--
179.0,Dalcher,Pierrre,SVP,NEIN
43.0,Daurù,Andreas,SP,JA
4.0,Egg,Bernhard,SP,JA
99.0,Egli,Hans,EDU,JA
149.0,Egli,Karin,SVP,NEIN
42.0,Egli,Ursina,SP,JA
71,Erdin,Andreas,GLP,JA
130,Farner,Martin,FDP,--
145,Feit,Leila,FDP,NEIN
62,Feldmann,Stefan,SP,JA
81,Fenner,Bruno,BDP,JA
66,Ferro,Ornella,Grüne,JA
82,Fischer,Gerhard,EVP,NEIN
152,Frei-Baumann,Ruth,SVP,NEIN
178,Frei,Hans,SVP,NEIN
164,Frey,Beatrix,FDP,NEIN
138,Fürst,Reinhard,SVP,NEIN
117,Gantner,Alex,FDP,NEIN
24,Geilinger,Martin,Grüne,JA
147,Geistlich,Andreas,FDP,NEIN
27,Gerber Rüegg,Julia,SP,JA
30,Göldi,Hanspeter,SP,JA
47,Golta,Raphael,SP,JA
17,Gschwind,Benedikt,SP,JA
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,JA
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,NEIN
134,Habicher,Lorenz,SVP,NEIN
96,Hächler,Patrick,CVP,JA
169,Haderer,Willy,SVP,NEIN
50,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,JA
25,Hasler,Andreas,GLP,JA
176,Haug,Hanspeter,SVP,NEIN
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,NEIN
69,Häusler,Edith,Grüne,JA
18,Heuberger,Catherine,SP,JA
151,Heusser,Hans-Heinrich,SVP,NEIN
23,Hildebrand,Esther,Grüne,--
72,Hodel,Daniel,GLP,JA
175,Hofer,Jacqueline,SVP,NEIN
104,Holenstein,Christoph,CVP,JA
67,Homberger,Max,Grüne,JA
155,Huber,Beat,SVP,NEIN
87,Huber,Stefanie,GLP,JA
49,Hübscher,Lilith Claudia,Grüne,JA
76,Hunger,Stefan,BDP,JA
121,Isler,René,SVP,--
167,Isliker,Walter,SVP,NEIN
2,Johner,Brigitta,FDP,NEIN
16,Joss,Rosmarie,SP,JA
51,Kaeser,Regula,Grüne,JA
77,Keller,Cornelia,BDP,JA
128,Kläy,Dieter,FDP,NEIN
88,Kleiber-Schenkel,Ruth,EVP,--
129,Kull-Benz,Katharina,FDP,NEIN
162,Kündig,Jörg,FDP,NEIN
101,Kutter,Philipp,CVP,JA
095,Kyburz,Heinz,EDU,NEIN
063,Lais,Ruedi,SP,JA
007,Lalli,Emy,SP,JA
139,Langhard,Walter,SVP,NEIN
174,Langhart,Konrad,SVP,NEIN
065,Läubli,Hans,Grüne,JA
106,Lauffer,Urs,FDP,NEIN
080,Lenggenhager,Marcel,BDP,JA
045,Loss,Davide,SP,JA
137,Lucek,Christian,SVP,NEIN
026,Mäder,Jörg,GLP,JA
015,Maeder-Zuberbühler,Karin,SP,JA
022,Margreiter,Ralf,Grüne,JA
181,Marthaler,Thomas,SP,--
036,Marti,Res,Grüne,JA
201,Mauchle,Thea,SP,JA
170,Menzi,Ruedi,SVP,NEIN
153,Mettler,Christian,SVP,NEIN
029,Meyer,Mattea,SP,JA
168,Moor-Schwarz,Ursula,SVP,NEIN
031,Munz,Roland,SP,JA
037,Petri,Gabi,Grüne,JA
093,Pinto,Jean-Philippe,CVP,JA
142,Portmann,Hans-Peter,FDP,--
133,Preisig,Peter,SVP,NEIN
157,Raths,Hans Heinrich,SVP,NEIN
019,Redzic,Alma,Grüne,JA
091,Reinhard,Peter,EVP,NEIN
156,Rinderknecht,Margreth,SVP,NEIN
090,Ritschard,Peter,EVP,NEIN
068,Rohweder-Lischer,Maria,Grüne,JA
014,Rusca Speck,Susanna,SP,JA
107,Sauter,Regine,FDP,--
083,Schaaf,Markus,EVP,NEIN
053,Schaffner,Barbara,GLP,JA
173,Scheck,Roland,SVP,NEIN
085,Scherrer,Benno,GLP,JA
115,Scherrer,Werner,FDP,NEIN
120,Schmid,Claudio,SVP,NEIN
105,Schmid,Lorenz,CVP,JA
3a,Schmid,Roman,SVP,NEIN
112,Schneebeli,Jakob,SVP,NEIN
089,Schoch,Walter,EVP,NEIN
146,Schwab,Daniel,FDP,NEIN
052,Schwarzenbach,Benjamin,GLP,--
009,Seiler Graf,Priska,SP,JA
061,Seiz-Gut,Silvia,SP,JA
180,Senn,Yves,SVP,NEIN
057,Serra,Jorge,SP,JA
059,Sieber,Sabine,SP,JA
183,Späth,Markus,SP,--
060,Spillmann,Moritz,SP,JA
032,Spring,Monika,SP,JA
136,Steinemann,Barbara,SVP,NEIN
028,Steiner,Rolf,SP,JA
092,Steiner,Silvia,CVP,JA
172,Steinmann,Armin,SVP,NEIN
011,Stofer,Judith,AL,JA
148,Stucker,Rolf,SVP,NEIN
008,Stutz,Peter,SP,JA
166,Sulser,Jürg,SVP,NEIN
114,Suter,Arnold,SVP,NEIN
102,Thomet-Bürki,Corinne,CVP,JA
108,Trachsel,Jürg,SVP,NEIN
150,Uhlmann,Peter,SVP,NEIN
158,Vogel,Thomas,FDP,NEIN
118,Vogt,Hans-Ueli,SVP,NEIN
070,von Planta,Cyrill,GLP,JA
094,Vontobel,Erich,EDU,JA
056,Wahlen,Denise,GLP,JA
160,Walker Späh,Carmen,FDP,NEIN
001,Walliser,Bruno,SVP,--
159,Walti,Beat,FDP,--
055,Walti,Rahel,GLP,JA
003,Weber-Gachnang,Theresia,SVP,NEIN
131,Weber,Kurt,FDP,NEIN
143,Weibel,Katharina,FDP,NEIN
098,Welz,Michael,EDU,JA
163,Wettstein,Sabine,FDP,NEIN
046,Widmer,Céline,SP,JA
097,Wiederkehr,Josef,CVP,--
038,Wiesner,Hans,GLP,JA
144,Winkler,Gabriela,FDP,--
073,Wirth,Thomas,GLP,JA
035,Wolf,Andreas,Grüne,JA
119,Wuhrmann,Heinrich,SVP,NEIN
141,Wyss,Orlando,SVP,NEIN
135,Zanetti,Claudio,SVP,NEIN
040,Zeugin,Michael,GLP,JA
039,Ziegler,Christoph,GLP,--
033,Ziegler,Sabine,SP,JA
041,Ziltener,Erika,SP,JA
122,Zimmermann,Rolf Robert,SVP,NEIN
084,Zollinger,Johannes,EVP,NEIN
132,Zuber,Martin,SVP,NEIN
113,Züllig,Hansueli,SVP,NEIN
